objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,u-g,g-r,,,my 20 (19),,,,
1237671939804627017,6162,301,3,134,73,3,258.2800358,64.06389526,25.11545,23.07781,22.3208,22.92932,21.88681,1.128265,0.2283744,0.1669801,0.3908894,0.57495,2.03764,0.75701,,,,,,,
1237671939804627820,6162,301,3,134,876,3,258.2744172,64.06582167,24.78468,22.80226,22.1251,21.58162,22.36432,1.062164,0.154298,0.1184376,0.1050722,0.6082116,1.98242,0.67716,,,,,,,
1237671939804627792,6162,301,3,134,848,3,258.2585288,64.07514187,23.5017,20.88701,20.02548,19.68286,19.37295,1.050092,0.04447633,0.03030071,0.0320779,0.09354339,2.61469,0.86153,,,,,,,
1237671939804627252,6162,301,3,134,308,3,258.2649761,64.06934695,25.04438,23.13905,21.97474,21.3063,20.76285,1.052856,0.217591,0.1106602,0.08837762,0.215882,1.90533,1.16431,,,,,,,
1237671939804562652,6162,301,3,133,1244,3,258.2340267,64.07921983,24.25187,21.51799,20.77792,20.49801,20.08758,1.135646,0.05720923,0.04188201,0.04615132,0.124828,2.73388,0.74007,,,,,,,
1237671939804562655,6162,301,3,133,1247,3,258.240955,64.07295952,22.67077,21.21058,20.43135,20.073,19.9816,0.5624754,0.05938826,0.04411263,0.04753085,0.1914878,1.46019,0.77923,,,,,,,
1237671939804561538,6162,301,3,133,130,3,258.1216551,64.04876974,23.5065,22.04415,21.21283,20.88661,20.9361,0.7791851,0.09102575,0.06072673,0.06558531,0.2613,1.46235,0.83132,,,,,,,
1237671939804561480,6162,301,3,133,72,3,258.1069546,64.06542838,19.5965,17.79084,16.8632,16.40177,16.09486,0.05053544,0.006120604,0.004468842,0.004279196,0.008933232,1.80566,0.92764,,,,,,,
1237671939804561503,6162,301,3,133,95,3,258.1085517,64.05746488,22.058,19.89824,19.02687,18.63956,18.30756,0.236789,0.01786675,0.01204634,0.01188993,0.028513,2.15976,0.87137,,,,,,,
1237671939804561529,6162,301,3,133,121,3,258.1042123,64.05974918,24.39394,22.56558,21.7796,21.19886,21.36322,1.06206,0.1314719,0.08964777,0.0766239,0.3159252,1.82836,0.78598,,,,,,,
1237671939804561520,6162,301,3,133,112,3,258.1675302,64.05172408,25.01685,21.34881,23.08813,22.74882,21.85483,0.8816137,0.05100987,0.2326377,0.2422996,0.3912507,3.66804,-1.73932,,,,,,,
1237671939804561969,6162,301,3,133,561,3,258.1662092,64.04163635,23.03355,21.64643,21.04791,20.64285,22.28855,0.6089522,0.06987636,0.05765288,0.05923444,0.7335512,1.38712,0.59852,,,,,,,
1237671939804562856,6162,301,3,133,1448,3,258.1594218,64.04182536,25.55797,23.03213,22.21697,21.75772,22.16824,0.8545678,0.2067344,0.1416577,0.1355804,0.6136294,2.52584,0.81516,,,,,,,
1237671939804561492,6162,301,3,133,84,3,258.1384524,64.07166634,21.5633,19.19833,18.25473,17.86046,17.49406,0.1513836,0.01167746,0.007789053,0.007621202,0.01605746,2.36497,0.9436,,,,,,,
1237671939804561497,6162,301,3,133,89,3,258.1404835,64.06757692,21.27358,19.56205,18.74035,18.26779,22.8269,0.1226456,0.01412499,0.01011086,0.009449274,0.8360243,1.71153,0.8217,,,,,,,
1237671939804561510,6162,301,3,133,102,3,258.1723448,64.06244923,21.57241,19.3758,24.80205,24.36182,18.07866,0.4171474,0.02392346,2.749202,2.671256,0.06091936,2.19661,-5.42625,,,,,,,
1237671939804561525,6162,301,3,133,117,3,258.1641576,64.06633794,28.41815,26.18082,16.19823,21.87767,27.90404,2.779837,18.16531,0.02366584,6.463452,0.5909264,2.23733,9.98259,,,,,,,
1237671939804561466,6162,301,3,133,58,3,258.1453615,64.07070394,17.94412,15.42686,14.45415,13.74438,13.69301,0.04091509,0.002893313,0.002261276,0.01157152,0.004153927,2.51726,0.97271,,,,,,,
