objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237663783126041159,4263,301,2,152,583,3,5.406350913,-0.821612518,23.34893,22.31561,21.35673,20.82178,20.85625,0.6408654,0.1380322,0.09100336,0.08372157,0.2814674
1237663783126041117,4263,301,2,152,541,3,5.39656566,-0.833870649,23.32449,21.86433,21.18255,20.96927,20.41253,0.8784223,0.1254098,0.1151162,0.1301566,0.2724567
1237663783126041145,4263,301,2,152,569,3,5.403129895,-0.835333915,23.96181,23.17236,23.23692,22.77499,22.93055,0.6576088,0.1983759,0.2940691,0.2877883,0.5608657
1237663783126041920,4263,301,2,152,1344,3,5.401338206,-0.819109101,24.61512,25.45575,23.87714,22.12888,21.71089,0.7419297,0.5149066,0.4553383,0.1588366,0.3535226
1237663783126041922,4263,301,2,152,1346,3,5.403244005,-0.81655297,24.73935,25.62959,23.78843,22.10589,21.31037,0.7875462,0.5008063,0.4406543,0.1621513,0.2689115
1237663783126041692,4263,301,2,152,1116,3,5.401415492,-0.822174839,22.75563,23.58416,21.73697,21.45125,21.28925,0.3803533,0.3671492,0.112406,0.1253929,0.3646381
1237663783126041158,4263,301,2,152,582,3,5.40547104,-0.821153683,25.17794,24.27993,22.41577,21.29902,20.84784,0.6379227,0.4178777,0.1398878,0.07530246,0.1743317
1237663783126041681,4263,301,2,152,1105,3,5.395904564,-0.820258478,23.62725,22.7859,21.75797,20.96168,20.39477,0.8071727,0.2167915,0.1458716,0.09547213,0.2116363
1237663783126041105,4263,301,2,152,529,3,5.390280731,-0.835333298,22.51949,22.68879,21.36116,20.92881,20.36074,0.2599844,0.1492767,0.0705736,0.0692935,0.1466394
1237663783126041131,4263,301,2,152,555,3,5.399692787,-0.823512972,22.86941,21.22852,20.06439,19.6123,19.3184,0.3609009,0.04454301,0.02493997,0.02388728,0.05912889
1237663783126040737,4263,301,2,152,161,3,5.411486265,-0.83152483,20.67162,18.79021,17.8154,17.40512,17.02644,0.09247547,0.01110428,0.007674846,0.007653531,0.01529574
1237657189833834669,2728,301,1,449,173,3,5.381224733,-0.853407142,21.34328,20.32892,19.45963,19.01043,18.67326,0.1595592,0.03232028,0.02184268,0.02161647,0.05572613
